# Based on the LGM50 drive cycle,
# time [s],current [A]
821,1.55931900000000
822,2.89097400000000
823,1.60708000000000
824,2.95582500000000
825,2.33615600000000
826,2.36560600000000
827,2.39612400000000
828,1.73418800000000
829,3.02281200000000
830,3.18822000000000
831,2.54352600000000
832,3.29259200000000
833,3.36583500000000
834,2.70298300000000
835,3.47463200000000
836,2.06393500000000
837,-0.399329000000000
838,-0.0843820000000000
839,-0.107271000000000
840,1.78423700000000
841,1.78362700000000
842,2.48127000000000
843,1.81048300000000
844,2.51300800000000
845,2.54337400000000
846,1.16258500000000
847,1.13939100000000
848,-0.404517000000000
849,1.03059400000000
850,1.68337500000000
851,1.68337500000000
852,1.68291800000000
853,3.05470400000000
854,2.32608500000000
855,1.75677100000000
856,2.45090400000000
857,2.48172700000000
858,1.81048300000000
859,1.81048300000000
860,1.81094100000000
861,1.81078800000000
862,2.81574700000000
863,-0.254520000000000
864,1.26649900000000
865,1.73876600000000
866,-0.0479130000000000
867,0.238193000000000
868,-0.0819410000000000
869,-0.321508000000000
870,-0.121004000000000
871,-0.349889000000000
872,0.0256350000000000
873,-0.534371000000000
874,0.446937000000000
875,1.17708100000000
876,1.17708100000000
877,1.17692800000000
878,1.17692800000000
879,1.17708100000000
880,-1.34844000000000
881,-1.77065700000000
882,-1.56252400000000
883,-0.263676000000000
884,-0.428321000000000
885,-0.147402000000000
886,0.652323000000000
887,0.392309000000000
888,0.906538000000000
889,0.652476000000000
890,0.652628000000000
891,0.392462000000000
892,1.57122100000000
893,-0.118105000000000
894,-0.576944000000000
895,-0.0120550000000000
896,-0.705425000000000
897,0.286564000000000
898,0.224155000000000
899,0.218051000000000
900,0.212406000000000
901,-1.02662700000000
902,-1.67605100000000
903,-0.864576000000000
904,-0.174716000000000
905,0.0535590000000000
906,1.53612600000000
907,1.87609700000000
908,0.991684000000000
909,2.05828900000000
910,2.41580800000000
911,2.34393800000000
912,2.73182300000000
913,2.00381500000000
914,0.0218200000000000
915,2.05783200000000
916,1.16456900000000
917,0.928511000000000
